Idno,Username,created_at,tweets,followers,friends,Label,Tweet
19224,massifa64,22-02-14 19:18,43,3246298,73,1,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
29504,Luca04289402,04-02-18 16:01,0,5310163,99,0,Thanks for picking up the trash.
1838,francesca19755,04-02-18 15:59,0,1767635,147,1,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.
6750,fabry795,21-08-17 7:37,4,3944850,25,0,Please da call me any mistake from my side sorry da. Pls da goto doctor.
48729,GRemondini,05-08-13 10:47,1,8938903,24,0,Jay is snickering and tells me that x is totally fucking up the chords as we speak
22600,macsceccacci,28-01-16 0:06,37,1563438,31,0,Lol I would but despite these cramps I like being a girl.
14543,m_minol,09-06-09 9:35,18,4074287,111,0,Lmao. Take a pic and send it to me.
8442,ValluzziRoberta,19-11-14 12:41,0,508816,397,0,I think the other two still need to get cash but we can def be ready by 9
23374,marika_baiano,04-02-18 15:50,0,3530767,55,0,No screaming means shouting..
41999,OCorallo,04-02-18 15:53,0,2607076,122,0,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money."
5059,domenico897,04-02-18 15:49,0,5265659,97,0,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;
38660,ValerioBenincas,04-02-14 14:02,160,2666382,227,1,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate "
30469,FatySw,04-02-18 15:44,0,4487489,70,0,Love you aathi..love u lot..
24551,Frances38243757,04-02-18 15:41,0,5751354,45,0,Same as kallis dismissial in 2nd test:-).
4160,Salvato39545994,04-02-18 15:32,0,3983847,60,0,Is xy in ur car when u picking me up?
45191,bussina77,04-02-18 15:33,1,2911316,65,0,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
3352,EmanueleCasta17,04-02-18 15:33,2,2786162,88,0,"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time"
23658,luca_assogna,04-02-18 15:30,1,494445,149,0,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
26667,lucia_diella,29-12-17 9:19,0,3445134,201,1,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!
18652,antonio_tudino,04-02-18 15:25,0,1264808,87,1,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a ‹¨«150 prize. To collect is easy. Just call 09061743386 
3903,Andrea12178421,04-02-18 15:25,0,434200,158,0,Yes its possible but dint try. Pls dont tell to any one k
47471,Alberto75768014,04-02-18 15:23,0,619382,164,0,"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*"
5343,Iolepirone1,04-02-18 15:18,0,2411995,43,0,Your dad is back in ph?
4320,Bertin7Nico,04-02-18 15:06,1,4450718,93,0,Watching telugu movie..wat abt u?
45590,ferdisahin958,04-02-18 15:20,0,1260160,71,0,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
37399,VBb95,04-02-18 15:17,0,3795667,146,1,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
24476,gp_1216,04-02-18 15:08,0,1792625,17,1,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180"
24880,gla225dius,04-02-18 15:09,0,616168,135,0,Er mw im filled tuth is aight
29897,Marco95459030,04-02-18 15:05,0,385250,76,0,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story)
19030,ROBERTO21384715,04-02-18 14:48,0,1724316,3,0,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
12505,LoreForne,04-02-18 14:59,0,493207,53,0,Our Prasanth ettans mother passed away last night. Just pray for her and family.
36294,ElisreinaReina,16-04-12 21:32,40,2401580,39,0,Is there any movie theatre i can go to and watch unlimited movies and just pay once?
1375,novepin,26-11-17 11:25,1,923448,65,1,"URGENT!! Your 4* Costa Del Sol Holiday or ‹¨«5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost‹¨«1.50/pm, Max10mins"
25816,g_zavatt,24-08-12 17:27,658,4115083,51,0,Thats cool. i liked your photos. You are very sexy!
49280,GOENRI,13-02-10 13:11,11,523758,31,0,Ok no prob. Take ur time.
22113,marccaro04,04-02-18 10:34,0,6726893,91,0,Then ‹¨«_ wait 4 me at bus stop aft ur lect lar. If i dun c ‹¨«_ then i go get my car then come back n pick ‹¨«_.
19689,SacolliSa,29-12-12 20:52,0,1075101,394,0,Otherwise had part time job na-tuition..
19891,christi67267716,04-02-18 14:50,0,1379123,91,0,Thts god's gift for birds as humans hav some natural gift frm god..
8602,Diego07959318,10-03-17 20:59,1,973727,67,0,Having lunch:)you are not in online?why?
40482,Serenel24815054,04-02-18 14:47,0,428284,16,0,Ok... Help me ask if she's working tmr a not?
7141,donatel44915714,04-02-18 14:42,0,3135667,123,0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
39744,clacon65,14-03-12 19:05,80,1162746,39,0,Missing you too.pray inshah allah
11295,Diego72025603,04-02-18 14:42,0,381918,21,0,Can you do a mag meeting this avo at some point?
28934,kappavincenzo1,04-02-18 14:28,0,1894953,64,0,It certainly puts things into perspective when something like this happens
31962,lorenzfaz1,04-02-18 14:41,0,1008040,69,0,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged
15847,ToninaVacca,28-03-14 14:27,3163,746865,547,0,"Gosh that , what a pain. Spose I better come then."
20024,_kidyetta,18-12-17 7:31,5,934688,27,0,I sent them. Do you like?
12310,yquevale47,18-09-13 23:07,205,1878416,245,0,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging 
13232,c_perlotti,31-08-17 11:22,1,470123,26,0,Not a drop in the tank
44956,Giusepp64367790,23-12-14 6:41,1,777510,18,0,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash"
40672,brusi2hotmailc1,04-02-18 14:13,0,2942212,168,0, &lt;#&gt;  in mca. But not conform.
30997,VincenzoCramar1,04-02-18 14:07,0,1409120,124,0,Blank is Blank. But wat is blank? Lol
23215,laTVdelledonne,27-09-17 17:46,544,492954,335,0,I am waiting for your call sir.
11512,Diemaz246,17-03-11 11:30,85,2035180,14,0,"Sorry, I'll call later"
9333,LEGIONCOHORT,03-06-08 2:20,2100,391726,942,0,U WILL SWITCH YOUR FONE ON DAMMIT!!
38677,Frances16429092,04-02-18 14:05,1,580794,122,0,Yar... I tot u knew dis would happen long ago already.
13086,nabks4,04-02-18 14:04,0,383892,65,0,What does the dance river do?
42056,raffaelepascale,16-08-11 6:19,680,1011924,344,0,Takin a shower now but yeah I'll leave when I'm done
11595,rulattanzio,01-08-15 11:18,11,428073,103,0,"Aight, text me tonight and we'll see what's up"
14653,LoredanaScarpa1,04-02-18 13:59,0,1478270,124,0,Finish already... Yar they keep saying i mushy... I so embarrassed ok...
48977,Matteo26350839,04-02-18 13:55,0,918654,133,0,You busy or can I come by at some point and figure out what we're doing tomorrow
11085,MosaadSaid2,04-02-18 13:51,0,778055,84,0,I have gone into get info bt dont know what to do
12087,CrisponiAntonio,04-02-18 13:46,0,538532,89,1,Money i have won wining number 946 wot do i do next
39937,wu_matteo,04-02-18 13:43,0,1607134,33,1,WINNER!! As a valued network customer you have been selected to receivea ‹¨«900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
7251,alberto80224176,04-02-18 13:32,1,299048,115,0,"There're some people by mu, I'm at the table by lambda"
39472,EleonoraCammil1,04-02-18 13:39,0,1659108,29,0,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out
26982,Francominorissa,27-08-12 16:53,0,1660204,7,1,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
25760,AriannaMoro2,04-02-18 13:41,0,303671,155,0,"They can try! They can get lost, in fact. Tee hee"
34855,andrein10356328,04-02-18 13:35,0,587677,13,1,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a ‹¨«250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstop‹¨«1.50/week
22883,agamennonesolo,04-02-18 13:33,0,424374,34,0,"I can. But it will tell quite long, cos i haven't finish my film yet..."
38950,MariaGr22733519,04-02-18 13:34,0,1308165,92,0,I.ll post her out l8r. In class
3948,massimi29294046,04-02-18 13:20,0,919026,20,1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
24624,N0rmalOn3,16-02-14 8:31,4557,820675,10955,0,I fetch yun or u fetch?
24022,HelmutKeller55,15-01-13 6:13,10,2355063,3,0,"Aight that'll work, thanks"
10816,Roberto22508838,04-02-18 13:25,0,1801697,42,1,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY ‹¨«1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
34084,Claudia5dh2,13-03-14 18:41,3,591653,37,0,"Haha I heard that, text me when you're around"
45899,CaesarRomei,03-02-18 17:33,100,1501197,157,0,Thank you princess! You are so sexy...
39651,Michele76753895,04-02-18 13:22,0,354579,127,1,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
31082,Salehalsultan17,04-02-18 13:22,0,833047,65,1,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp
38504,Anna67230079,04-02-18 13:21,0,728097,151,0,"Yo, you around? Just got my car back"
36322,andreasalvaggio,21-12-09 20:54,7,663297,77,0,All e best 4 ur driving tmr :-)
29686,Fenrihr1003,04-02-18 13:13,0,1216020,112,0,Id have to check but there's only like 1 bowls worth left
46850,PIETROCAPODIFE7,26-10-17 9:12,6,3611359,60,0,Where you. What happen
39479,frances97129249,04-02-18 13:09,0,880728,32,1,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones
11098,leonardo_cesare,04-02-18 9:14,5,614395,19,0,S but mostly not like that.
42261,scalencia,22-03-13 7:31,7,672403,10,0,Thank you baby! I cant wait to taste the real thing...
32298,offertedelgg,04-02-18 13:11,14,4520305,142,1,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN ‹¨«100 Cash WKENT/150P16+
8114,shericedaily9,04-02-18 12:58,0,773712,139,0,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
41005,Frances66364268,04-02-18 12:50,0,694253,65,0,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
16766,gabrielim4,17-11-17 20:25,88,5367605,565,0,i see. When we finish we have loads of loans to pay
40904,fabbbiocat,04-09-09 9:54,43,883706,105,0,Can ‹¨«_ all decide faster cos my sis going home liao..
33148,OtticaFibra,04-02-18 12:53,0,523512,133,0,"That's fine, have him give me a call if he knows what he wants or has any questions"
9828,MOMO9823613388,04-02-18 12:48,2,401400,151,0,I'm not coming home 4 dinner.
5840,Mauro32157945,04-02-18 12:48,0,2641880,114,0,I like dis sweater fr mango but no more my size already so irritating.
26061,PaglioniSabrina,04-02-18 7:52,1,471970,37,0,Hello which the site to download songs its urgent pls
14044,Antonio22646671,04-02-18 12:45,0,7744066,156,1,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs)
